Technique, Obj Type, ID, Distance, Amplitude, Error, Time
WORLD_IN_MIN,1A,2.857981,250,40,1,703.89
WORLD_IN_MIN,1B,2.857981,250,40,1,524.9022
WORLD_IN_MIN,2A,2.857981,250,40,1,401.8564
WORLD_IN_MIN,2B,2.857981,250,40,1,748.4121
WORLD_IN_MIN,3A,2.857981,250,40,1,681.8093
WORLD_IN_MIN,3B,2.857981,250,40,1,48815.27
WORLD_IN_MIN,4A,2.857981,250,40,1,3775.26
WORLD_IN_MIN,4B,2.857981,250,40,1,524.5151
WORLD_IN_MIN,5A,2.857981,250,40,1,391.9502
WORLD_IN_MIN,5B,2.857981,250,40,1,329.9306
WORLD_IN_MIN,6A,2.857981,250,40,1,323.7554
WORLD_IN_MIN,6B,2.857981,250,40,1,301.4102
WORLD_IN_MIN,7A,2.857981,250,40,1,279.3363
WORLD_IN_MIN,7B,2.857981,250,40,1,324.1002
WORLD_IN_MIN,8A,2.857981,250,40,1,317.5953
WORLD_IN_MIN,8B,2.857981,250,40,1,312.5674
WORLD_IN_MIN,9A,2.857981,250,40,1,312.7506
WORLD_IN_MIN,9B,2.857981,250,40,1,1296.086
WORLD_IN_MIN,1A,5.672425,500,10,1,325.1855
WORLD_IN_MIN,1B,5.672425,500,10,1,445.325
WORLD_IN_MIN,2A,5.672425,500,10,1,412.2176
WORLD_IN_MIN,2B,5.672425,500,10,1,3106.314
WORLD_IN_MIN,3A,5.672425,500,10,1,2876.955
WORLD_IN_MIN,3B,5.672425,500,10,1,703.5364
WORLD_IN_MIN,4A,5.672425,500,10,1,781.8384
WORLD_IN_MIN,4B,5.672425,500,10,1,636.9865
WORLD_IN_MIN,5A,5.672425,500,10,1,490.8977
WORLD_IN_MIN,5B,5.672425,500,10,1,927.213
WORLD_IN_MIN,6A,5.672425,500,10,1,726.0927
WORLD_IN_MIN,6B,5.672425,500,10,1,361.5759
WORLD_IN_MIN,7A,5.672425,500,10,1,325.2618
WORLD_IN_MIN,7B,5.672425,500,10,1,324.0369
WORLD_IN_MIN,8A,5.672425,500,10,1,323.3528
WORLD_IN_MIN,8B,5.672425,500,10,1,714.767
WORLD_IN_MIN,9A,5.672425,500,10,1,1475.938
WORLD_IN_MIN,9B,5.672425,500,10,1,556.8365
WORLD_IN_MIN,1A,4.209454,350,20,1,1206.348
WORLD_IN_MIN,1B,4.209454,350,20,1,4697.177
WORLD_IN_MIN,2A,4.209454,350,20,1,708.6645
WORLD_IN_MIN,2B,4.209454,350,20,1,569.7616
WORLD_IN_MIN,3A,4.209454,350,20,1,401.9748
WORLD_IN_MIN,3B,4.209454,350,20,1,358.3892
WORLD_IN_MIN,4A,4.209454,350,20,1,334.8323
WORLD_IN_MIN,4B,4.209454,350,20,1,446.6697
WORLD_IN_MIN,5A,4.209454,350,20,1,457.9159
WORLD_IN_MIN,5B,4.209454,350,20,1,430.1109
WORLD_IN_MIN,6A,4.209454,350,20,1,380.2357
WORLD_IN_MIN,6B,4.209454,350,20,1,479.9302
WORLD_IN_MIN,7A,4.209454,350,20,1,480.3225
WORLD_IN_MIN,7B,4.209454,350,20,1,401.9838
WORLD_IN_MIN,8A,4.209454,350,20,1,324.0351
WORLD_IN_MIN,8B,4.209454,350,20,1,312.5607
WORLD_IN_MIN,9A,4.209454,350,20,1,326.4883
WORLD_IN_MIN,9B,4.209454,350,20,1,393.0929
