Technique, Obj Type, ID, Distance, Amplitude, Error, Time
IMAGEPLANE_STICKYHAND,1A,2.857981,250,40,1,2223.667
IMAGEPLANE_STICKYHAND,1B,2.857981,250,40,1,2111.183
IMAGEPLANE_STICKYHAND,2A,2.857981,250,40,1,1455.742
IMAGEPLANE_STICKYHAND,2B,2.857981,250,40,1,978.402
IMAGEPLANE_STICKYHAND,3A,2.857981,250,40,1,1055.147
IMAGEPLANE_STICKYHAND,3B,2.857981,250,40,1,1044.47
IMAGEPLANE_STICKYHAND,4A,2.857981,250,40,1,1122.163
IMAGEPLANE_STICKYHAND,4B,2.857981,250,40,1,1033.513
IMAGEPLANE_STICKYHAND,5A,2.857981,250,40,1,1000.177
IMAGEPLANE_STICKYHAND,5B,2.857981,250,40,1,988.3572
IMAGEPLANE_STICKYHAND,6A,2.857981,250,40,1,1022.613
IMAGEPLANE_STICKYHAND,6B,2.857981,250,40,1,999.9944
IMAGEPLANE_STICKYHAND,7A,2.857981,250,40,1,1000.217
IMAGEPLANE_STICKYHAND,7B,2.857981,250,40,1,1033.154
IMAGEPLANE_STICKYHAND,8A,2.857981,250,40,1,1144.501
IMAGEPLANE_STICKYHAND,8B,2.857981,250,40,1,1566.662
IMAGEPLANE_STICKYHAND,9A,2.857981,250,40,1,955.4113
IMAGEPLANE_STICKYHAND,9B,2.857981,250,40,0,844.838
IMAGEPLANE_STICKYHAND,1A,5.672425,500,10,1,1089.147
IMAGEPLANE_STICKYHAND,1B,5.672425,500,10,1,1044.853
IMAGEPLANE_STICKYHAND,2A,5.672425,500,10,1,955.0786
IMAGEPLANE_STICKYHAND,2B,5.672425,500,10,1,1033.392
IMAGEPLANE_STICKYHAND,3A,5.672425,500,10,1,1088.922
IMAGEPLANE_STICKYHAND,3B,5.672425,500,10,1,1033.186
IMAGEPLANE_STICKYHAND,4A,5.672425,500,10,1,1188.887
IMAGEPLANE_STICKYHAND,4B,5.672425,500,10,1,1088.84
IMAGEPLANE_STICKYHAND,5A,5.672425,500,10,1,1166.952
IMAGEPLANE_STICKYHAND,5B,5.672425,500,10,1,1177.84
IMAGEPLANE_STICKYHAND,6A,5.672425,500,10,1,1232.856
IMAGEPLANE_STICKYHAND,6B,5.672425,500,10,1,1133.288
IMAGEPLANE_STICKYHAND,7A,5.672425,500,10,1,1066.961
IMAGEPLANE_STICKYHAND,7B,5.672425,500,10,1,989.4141
IMAGEPLANE_STICKYHAND,8A,5.672425,500,10,1,921.7375
IMAGEPLANE_STICKYHAND,8B,5.672425,500,10,1,777.7339
IMAGEPLANE_STICKYHAND,9A,5.672425,500,10,0,933.6133
IMAGEPLANE_STICKYHAND,9B,5.672425,500,10,1,865.9138
IMAGEPLANE_STICKYHAND,1A,4.209454,350,20,1,689.3619
IMAGEPLANE_STICKYHAND,1B,4.209454,350,20,1,599.7902
IMAGEPLANE_STICKYHAND,2A,4.209454,350,20,1,577.8477
IMAGEPLANE_STICKYHAND,2B,4.209454,350,20,1,600.4699
IMAGEPLANE_STICKYHAND,3A,4.209454,350,20,1,555.5247
IMAGEPLANE_STICKYHAND,3B,4.209454,350,20,1,522.1013
IMAGEPLANE_STICKYHAND,4A,4.209454,350,20,1,633.6271
IMAGEPLANE_STICKYHAND,4B,4.209454,350,20,1,511.2527
IMAGEPLANE_STICKYHAND,5A,4.209454,350,20,1,655.239
IMAGEPLANE_STICKYHAND,5B,4.209454,350,20,1,644.3572
IMAGEPLANE_STICKYHAND,6A,4.209454,350,20,1,655.7048
IMAGEPLANE_STICKYHAND,6B,4.209454,350,20,1,588.8461
IMAGEPLANE_STICKYHAND,7A,4.209454,350,20,1,788.5189
IMAGEPLANE_STICKYHAND,7B,4.209454,350,20,1,578.2629
IMAGEPLANE_STICKYHAND,8A,4.209454,350,20,1,599.3677
IMAGEPLANE_STICKYHAND,8B,4.209454,350,20,1,578.442
IMAGEPLANE_STICKYHAND,9A,4.209454,350,20,1,566.2767
IMAGEPLANE_STICKYHAND,9B,4.209454,350,20,0,533.4294
