Technique, Obj Type, ID, Distance, Amplitude, Error, Time,,
BENDCAST,1A,2.857981,250,40,0,839.6813,670.65325,61.11111111
BENDCAST,1B,2.857981,250,40,0,659.2261,,
BENDCAST,2A,2.857981,250,40,0,623.5862,,
BENDCAST,2B,2.857981,250,40,1,850.2233,,
BENDCAST,3A,2.857981,250,40,1,603.3514,,
BENDCAST,3B,2.857981,250,40,1,656.9348,,
BENDCAST,4A,2.857981,250,40,1,749.1162,,
BENDCAST,4B,2.857981,250,40,1,577.6923,,
BENDCAST,5A,2.857981,250,40,1,641.432,,
BENDCAST,5B,2.857981,250,40,1,569.7917,,
BENDCAST,6A,2.857981,250,40,1,603.1406,,
BENDCAST,6B,2.857981,250,40,0,658.4315,,
BENDCAST,7A,2.857981,250,40,1,648.4187,,
BENDCAST,7B,2.857981,250,40,0,693.1194,,
BENDCAST,8A,2.857981,250,40,1,713.8328,,
BENDCAST,8B,2.857981,250,40,0,693.0071,,
BENDCAST,9A,2.857981,250,40,1,675.5164,,
BENDCAST,9B,2.857981,250,40,0,615.2567,,
BENDCAST,1A,5.672425,500,10,0,680.7467,827.3926722,5.555555556
BENDCAST,1B,5.672425,500,10,0,748.4207,,
BENDCAST,2A,5.672425,500,10,0,736.7336,,
BENDCAST,2B,5.672425,500,10,0,615.0976,,
BENDCAST,3A,5.672425,500,10,0,736.9296,,
BENDCAST,3B,5.672425,500,10,0,792.8125,,
BENDCAST,4A,5.672425,500,10,0,915.9111,,
BENDCAST,4B,5.672425,500,10,1,781.8161,,
BENDCAST,5A,5.672425,500,10,0,1284.387,,
BENDCAST,5B,5.672425,500,10,0,894.1328,,
BENDCAST,6A,5.672425,500,10,0,1007.998,,
BENDCAST,6B,5.672425,500,10,0,748.9705,,
BENDCAST,7A,5.672425,500,10,0,828.1281,,
BENDCAST,7B,5.672425,500,10,0,816.0046,,
BENDCAST,8A,5.672425,500,10,0,893.8566,,
BENDCAST,8B,5.672425,500,10,0,792.069,,
BENDCAST,9A,5.672425,500,10,0,749.8087,,
BENDCAST,9B,5.672425,500,10,0,869.2449,,
BENDCAST,1A,4.209454,350,20,0,625.1567,645.9640222,16.66666667
BENDCAST,1B,4.209454,350,20,0,691.9502,,
BENDCAST,2A,4.209454,350,20,0,670.1998,,
BENDCAST,2B,4.209454,350,20,0,659.7072,,
BENDCAST,3A,4.209454,350,20,0,737.3715,,
BENDCAST,3B,4.209454,350,20,0,639.2848,,
BENDCAST,4A,4.209454,350,20,0,757.284,,
BENDCAST,4B,4.209454,350,20,0,681.3119,,
BENDCAST,5A,4.209454,350,20,1,692.1735,,
BENDCAST,5B,4.209454,350,20,0,625.4768,,
BENDCAST,6A,4.209454,350,20,0,681.5554,,
BENDCAST,6B,4.209454,350,20,0,598.0115,,
BENDCAST,7A,4.209454,350,20,0,630.3654,,
BENDCAST,7B,4.209454,350,20,0,569.6713,,
BENDCAST,8A,4.209454,350,20,0,604.0433,,
BENDCAST,8B,4.209454,350,20,1,502.3508,,
BENDCAST,9A,4.209454,350,20,1,624.4434,,
BENDCAST,9B,4.209454,350,20,0,636.9949,,
